username,description,user_char,source_author_id,source_round,tweet_count,sampled_tweets,generation_error
agent_001_user_3292685493,"A healthcare professional dealing with the aftermath of the COVID-19 pandemic, balancing personal and professional life while advocating for better health policies and patient care.","Serious and compassionate, often discussing the impacts of the virus on patients and society, while maintaining a pragmatic approach to work and daily routines.",3292685493,0,20,"[""Pós COVID, obviamente."", ""A arte de transformar o covid em verbo... “Covidei em julho e tu?”"", ""@SusianeAlt Edital COVID. Negócio tá tenso lá mas tá muito bom (de trabalho)."", ""Sim, sobrevivi ao COVID pelo meu histórico de atleta e sem ivertmectina✌🏽🦠"", ""@SusianeAlt Minha sequência é: Domingo: HCPA COVID noite Segunda: HCR tarde + aula doutorado Terça: HCR manhã + aula doutorado Quarta: HCR manhã, HCPA COVID noite Quinta: HCR tarde Sexta: HCR manhã Sábado: HCPA COVID noite Domingo: folga 🙌🏽"", ""Blogueiras (ou similares) sem referência consistente a respeito de saúde falando sobre COVID-19: até quando?"", ""Retratos do COVID: Conheci o Sr. JH as 19h lúcido, orientado e coerente... contou inclusive que odeia usar máscara pq isso é bobagem e sufoca. Passei plantão às 8h com ele em ventilação mecânica."", ""Ouvir um homem jovem suplicar para não deixar que ele morra pois tem filhos e uma vida inteira pela frente. Não tem um dia que o covid não me maltrate lá no fundo e me faça repensar diversos aspectos da vida... 😔"", ""Hoje o padrasto de uma das minhas amigas fez um IAM com supra em complicação do COVID (10° dia de evolução da doença). Não é só sobre o vírus, é sobre as sequelas, os desdobramentos dele..."", ""Ouvir um homem jovem suplicar para não deixar que ele morra pois tem filhos e uma vida inteira pela frente. Não tem um dia que o covid não me maltrate lá no fundo e me faça repensar diversos aspectos da vida... 😔"", ""Toda semana sou convidada a participar de alguma pesquisa relacionada ao COVID. Seja como paciente, seja como profissional da área da saúde."", ""Paciente de 33 anos, não vacinado por OPÇÃO POLÍTICA (sic), COVID positivo, saturando 88%, com pneumonia bacteriana sobreposta, mas não aceita internação pois podemos criar dados sobre ele e LOGO VAI MELHORAR. 😓"", ""Hoje o padrasto de uma das minhas amigas fez um IAM com supra em complicação do COVID (10° dia de evolução da doença). Não é só sobre o vírus, é sobre as sequelas, os desdobramentos dele..."", ""Todo plantão alguém morre por COVID. Todos os dias, os boletins dos dois hospitais que trabalho mostram números mais elevados. Ainda tem gente discutindo sobre abertura de comércio, grenal ou qualquer coisa semelhante?"", ""Vocês que são influentes e mandam mensagens defendendo que os hospitais estão vazios: podem me passar o contato para remanejar uns pacientes COVID+?""]",
agent_002_user_1717426308,"The user discusses their daily life and experiences with the coronavirus pandemic, expressing frustration with work conditions, social issues, and personal health concerns. They often use humor to cope with challenging situations.","The user has a sarcastic and humorous tone, frequently referencing the pandemic in their tweets while also commenting on broader societal issues like workplace fairness and political figures.",1717426308,0,20,"[""Boulos com Covid e eu com medo de ter pego dele, que nível minha vida chegou"", ""Beijo com corona"", ""Coisas que eu preciso pra vida melhorar: -Trabalhar em um lugar minimamente \""justo\"" -Fim do corona -Uma namoradinha -Mais tempo livre"", ""@DodododododDod Não pode, pega vírus, ainda mais daqueles velhos do bar"", ""Tédio no corona 🔞- 22 👫- R 👼🏻- Não ✨- Estável ♥️- Não 📍- Não 💉- Não 💳- Bruninho Xaxim 2005 ☯️- O das piadas ruins, Sagitario. 🎁- 09/12 💛- Amarelo 👭- Luizin 📆- Sábado 🎲- 12 🌞- Noite 😝- 🥺 🤭- N tem 📌- Nem sabia que dava pra fazer isso 📏- 1,90 🌝- Sim 🔥 fav e mando"", ""Se eu ainda não tiver com covid, vou pegar nessa fila gigantesca do SUS com todo mundo tossindo"", ""Tédio no corona 🔞- 22 👫- R 👼🏻- Não ✨- Estável ♥️- Não 📍- Não 💉- Não 💳- Bruninho Xaxim 2005 ☯️- O das piadas ruins, Sagitario. 🎁- 09/12 💛- Amarelo 👭- Luizin 📆- Sábado 🎲- 12 🌞- Noite 😝- 🥺 🤭- N tem 📌- Nem sabia que dava pra fazer isso 📏- 1,90 🌝- Sim 🔥 fav e mando"", ""Um ano polvilho, no outro corona"", ""Se eu ainda não tiver com covid, vou pegar nessa fila gigantesca do SUS com todo mundo tossindo"", ""Bom dia, Bolsonaro fazendo churrasco com mais de mil pessoas depois de 10 mil pessoas morrerem por conta do Corona e o DCE não se posiciona contra o cara. É uma vergonha, namoral"", ""Boulos com Covid e eu com medo de ter pego dele, que nível minha vida chegou"", ""Ih vamos te testezinho de coronga pra voltar pra cwb não infectado e com sindicato ganho"", ""@gabrieIberte Eu espero tu chegar lindo. To limpo de covid, saiu o resultado hj , não vou te passar nada KKKK"", ""Vou lamber o asfalto depois desse teste de corona negativo!"", ""Cada dia que passa uma pessoa nova que tava na casa com nois positiva pro covid, eu e o Fofão devemos ser a cura, só pode""]",
agent_003_user_1230248006089347072,"The user frequently discusses the coronavirus and its impact on daily life in Acre, Brazil, sharing personal experiences and concerns about testing and symptoms.","The user has a casual and somewhat humorous tone, often expressing frustration with the pandemic while also showing concern for their own health and that of others.",1230248006089347072,0,20,"[""Abaixo um Twitter e continue lendo : existem muitos sintomas do vírus que na maioria dos jovens não apresentam falta de ar, já tem vários conhecidos meus que fez o teste particular e deu positivo, isso sem estar com falta de ar. Apenas sem sentir olfato e paladar."", ""Vão achar que tô com COVID"", ""Eu não vejo ninguém mais em quarentena, pelo amor de Deus, isso já acabou faz tempo aqui no acre , todo mundo sempre está em resenhas ou em festa, na minha opinião, todos iremos pegar ou já pegaram o COVID"", ""COVID, só obedece as regras quando afeta um familiar seu."", ""7 mortes de COVID no acre nas últimas 24 horas🥺 o caos já não é mais o mesmo."", ""E meus amigos, deu positivo meu exame do COVID 😢😷"", ""Vou tomar uma corona vai ser o jeito, ela vai me pegar e por dentro mesmo."", ""Gente sonhei que pagava o corona vírus acredita!! Tá repreendido."", ""Alguém que já pegou COVID sabe me dizer se demora muito voltar o olfato e o paladar, tá acabando comigo isso, não aguento mais."", ""Só eu que acho que peguei COVID mais de uma vez e não sei kkkkkk"", ""Acho que já peguei COVID umas 3 vezes assintomática e não sei"", ""Aqui esperando pra fazer o exame do COVID 😣"", ""Tô me sentindo muito mal, achando que é COVID."", ""Vou tomar uma corona vai ser o jeito, ela vai me pegar e por dentro mesmo."", ""Alguém tira o corona do planetaaaa Não aguento mais""]",
agent_004_user_600473295,"The user is likely an anti-vaxxer and conspiracy theorist who frequently discusses the perceived dangers of COVID-19, vaccines, and medical treatments in a tone that blends religious beliefs with skepticism towards scientific consensus.","The user has a confrontational and dismissive personality, often challenging others' views and using religious rhetoric to support their stance against vaccines and certain medical interventions.",600473295,0,20,"[""@pelamellas Cloroaquina e qualquer outro medicamneto é uma tentativa de diminuir os danos do covid. Vi uma pesquisa dr médicos nao lembro se nos eua franca ou aqui no br que eles falam que essa droga é a melhor POR ENQUANTO no caso de covid"", ""A partir de hoje eu só respeito quem chama covid de arma biológica"", ""O problema é o número de mortes ou a letalidade do virus ?"", ""@lucasrohan @EuclidesFla Acabou o corona virus GRACAS A DEUS"", ""Pq morre menos gente de corono virus nos domingos ?"", ""Prevêem 50 mil mortes por corona no Brasil até o fim da pandemia Morrem 43 mil de gripe por mes no brasil"", ""@pelamellas Cientificamente nao deveria usar medicamento nenhum contra o covid certo ? Mas ai os medicos deixam todos a mera sorte sem buscsr alternativas ? O meu ponto não é que temos uma drogs milagrosa pelo amor de deus"", ""Ou seja 80% não morreu de covid e sim COM covid..... é isso? https://t.co/NYsMwajcPT"", ""Pq morre menos gente de corono virus nos domingos ?"", ""1 morte por covid hoje...."", ""@MiguelNicolelis @veramagalhaes Qual a % de mortalidade do virus ?"", ""Nas vacinas de corona virus é utilizado a celular HEK-293 Joga no google e vê a belezinha que vocês estão sedentos para jogar dentro do corpo de vocês"", ""O milagre do corona virus https://t.co/9X9o2OHsSk"", ""Em média morreram 100pessoas/dia no Brasil de covid-19. Para sabermos se está morrendo muita gente ou não a gente precisa comparar com outros causas de mortes... enquanto isso não for feito não da para saber a real gravidade da situação"", ""@thairodriguesm É deus higienizando... nao tem virus que sustente""]",
agent_005_user_50467877,"The user is a vocal supporter of Lula and critic of Bolsonaro, focusing on social and political issues related to the pandemic, corruption, and economic conditions in Brazil. They are passionate about vaccination efforts and advocate for stricter measures against the virus.","The tone is assertive and critical, with a strong sense of urgency and moral indignation. The user interacts by expressing support for Lula's presidency and condemning Bolsonaro’s policies, often using humor and sarcasm in their posts.",50467877,0,20,"[""#LulaPresidente2022 Nós Temos que ASSUMIR A NOSSA RESPONSABILIDADE!!! - Se Manaus e muitos outros lugares estão MORRENDO PELO CONTÁGIO DO COVID-19, NORMAL, É MESMA PARCELA DE 147 MILHÕES DE BRASILEIROS RELAPSA QUE NÃO OBSERVOU O PERIGO 🤡 NA PRESIDÊNCIA DO BRASIL 🤷🏽‍♂️ https://t.co/zCnbI9prNb"", ""#LulaPresidente2022 Começa a Cair os PRÍNCIPES DO FASCIMO NEGACIONISTA ADPTO DA CLOROQUINA E IVERMECTINA NO BRASIL DO GENOCIDIO!🙏🙏🙏 - FOI PARA O SACO!😏 https://t.co/7ujSTgtx0o"", ""#ForaBolsonaroGenocida 250 mil mortes pela covid-19: uma doença cada vez mais contagiosa. 👉🏿 E a Câmara dos Deputados, reunidos, PASSANDO A BOIADA DA IMPUNIDADE, SE BLINDANDO CONTRA A PRISÃO EM FRAGRANTE DE DEPUTADOS!!! Veja mais no UOL. Acesse: https://t.co/n9WjFzCPh8"", ""#ForaBolsonaroGenocida https://t.co/ajesCuW1ry 👉🏿 Os Militares estão Tomando um merecido PÉ NO RABO DO BOLSONARO!!! 👉🏿 BOLSONARO AGE COMO O COVID-19, SÓ CONSIDERA QUEM ESTIVER DISPOSTO A MORRER POLITICAMENTE COM ELE, QUEM DEFENDE A VACINA, ESTA FORA!!!😏"", ""#ForaBolsonaroGenocida 👉🏻 JÁ SÃO 200 MIL MORTOS PELA COVID-19, POR FALTA DE RESPONSABILIDADES DESTE \""TRASTE\"", 56 MILHÕES VIVENDO NA INFORMALIDADE, 14 MILHÕES DE DESEMPREGADO, A ECONOMIA A BEIRA DA FALÊNCIA, E ELE 🤡, NEM AI, SÓ PENSANDO NA REELEIÇÃO EM 2022!!! https://t.co/XPP9NBzp4h"", ""#LulaPresidente2022 O PRESIDENTE, Que não é o Meu, De VACINAS AO POVO CARA! - Você Quer que o povo enfrente o COVID-19 de Cara LIMPA? sem usar sequer uma MASCARA??? - O Trabalhador SÓ TEM UMA VIDA, 🤡 FDP ORDINÁRIO SANGUESSUGAS DO INFERNO 🤡!!! https://t.co/fKyyhVCYHp"", ""#LulaPresidente2022 Se Cuide Campo PROGRESSISTA!!! Estamos Enfrentando 3 PRAGAS NO BRASIL: - COVID-19 - SURTO DE AMEBA(🤡) - VIRUS DA VACA-LOCA(🐄) https://t.co/3YDreifJgE"", ""#LulaPresidente2022 Nós Temos que ASSUMIR A NOSSA RESPONSABILIDADE!!! - Se Manaus e muitos outros lugares estão MORRENDO PELO CONTÁGIO DO COVID-19, NORMAL, É MESMA PARCELA DE 147 MILHÕES DE BRASILEIROS RELAPSA QUE NÃO OBSERVOU O PERIGO 🤡 NA PRESIDÊNCIA DO BRASIL 🤷🏽‍♂️ https://t.co/zCnbI9prNb"", ""#ForaBolsonaroGenocida Assistir o Mundo em que FAZIAMOS PARTE COM O CORRUPTO PT NO PODER, APLICANDO A VACINA CONTRA O COVID-19 NA POPULAÇÃO, DOI MUITO!🤔😏😢 https://t.co/apkZsmjMJ9"", ""#ForaBolsonaroGenocida Deu Ruim para Todo Mundo Gente, o GOLPE CONTRA A DILMA E O PT, Todo NÓS ESTAMOS PAGANDO UM PREÇO MUITO ALTO NO CUSTO DE VIDA, PERDA DE VIDAS P/ COVID-19, E SEM PERSPESCTIVA DE UM FUTURO MELHOR!😏 https://t.co/0qZdJ1ykr2"", ""Infelizmente, Nossos destinos estam nas Mãos deste Mau Elemento! 👉🏿 Se Cuidem, CORONA VÍRUS, MATA!!! https://t.co/8pscbYV3g7"", ""#ForaBolsonaro 👉🏿 IMPIACHMENT JÁ, antes que começamos a MORRER TODOS DE FOME E COVID-19!🤮 https://t.co/Ga9HsMbeYB https://t.co/PCzkOS0lI4"", ""#LulaPresidente2022 Se Cuidem COMPANHEIROS, estamos por Conta Própria, Sem Governante(🤡), Vacinas a CONTA GOTAS, e COVID-19 A TODO VAPOR, E AS VIDAS SE EVAPORANDO ACELERADAMENTE! https://t.co/CPRTJt0m6m"", ""#ForaBolsonaroGenocida 👉🏿 Cadê a CONSTELAÇÃO DE OFICIAIS GENERAIS ALMIRANTES E BRIGADEIROS E FORÇAS AUXILIARES DA INTELIGÊNCIA DE SEGURANÇA DO BRASIL, QUE NÃO IMPÕE UMA RESTRIÇÃO MINIMA NOS NOSSOS AEROPORTOS??? https://t.co/1Pm1BiiQJO"", ""#LulaPresidente2022 Assistir o Mundo em que FAZIAMOS PARTE COM O CORRUPTO PT NO PODER, APLICANDO A VACINA CONTRA O COVID-19 NA POPULAÇÃO, DOI MUITO!🤔😏😢 https://t.co/Z1XnYCGSO5""]",
agent_006_user_1126032702,"The user is a single, isolated individual dealing with the challenges of living alone during the pandemic. They frequently tweet about their struggles with loneliness, financial issues, and health concerns related to COVID-19, often in a humorous but pessimistic tone.","The user has a sarcastic and self-deprecating personality, often expressing frustration and anxiety through humor. They interact with others by sharing personal experiences and engaging in light-hearted banter, particularly regarding local issues like power outages.",1126032702,0,20,"[""tardezinha do covid quem vai"", ""engraçadissimo como ter pegado covid me converteu ao novo orgulho da oms"", ""sera q o covid vai me matar ou eu me mato antes quem quiser fazer esse bolao deixo aqui minha ideia"", ""@cemig_energia EU JA SOLICITEI A TROCA DE TITULARIDADE PELO SITE JA LIGUEI NO 116 JA FALEI COM A CEMIG ATENDE VOCES SO ME DAO PREVISAO DE 5 DIAS UTEIS COMO Q EU VO FICAR SEM ENERGIA ESTANDO COM COVID ISOLADO EM CASA SE MINHAS COISAS DA GELADEIRA PERDER NEM SAIR P COMPRAR EU POSSO"", ""o lugar dos leitos emergenciais de formiga o trato eh o seguinte do covid TALVEZ voce se livre mas as ooooutras doenças que voce pegar por la ainda À COMBINAR"", ""meu deus a quarentena inteira eu to bebendo e fumando e passando noites em claro e me alimentando super mal quando a covid me pegar n vai sobrar nem meu cu p contar história to malz https://t.co/6ngyZLnO1f"", ""off eu to meia preocupada tem um peladao do predio da frente q a janela dele n abre desde semana passada eu to meia assim pq ele eh acima do peso se pegou covid talvez nao resistiu.. fico tao encucada nossa queria uma luz https://t.co/C2u6Bxys6H"", ""muito arrependida de ter mudado pra formiga pois arcos ja encontrou a cura do covid"", ""nao aguento mais chorar e me humilhar o dia inteiro nessa cama pareço um buda eu estava tao linda antes do covid agora estou feia baranga endividada toda cheia de problemas de saude e financeiros sinto falta dos dias antigos caras... queria dormir no colinho do cap*ta https://t.co/RrdFN8oUc5"", ""a black friday aki em casa foi proporcionada pela cemig apagão o fim de semana inteiro pq eu n passei a titularidade pro meu nome mt bom morar sozinha principalmente qdo se esta com covid e sem eletricidade vamos ver agora o que será que vem ai https://t.co/OlniPdcRtY"", ""muito arrependida de ter mudado pra formiga pois arcos ja encontrou a cura do covid"", ""arcos tá usando aquela tática que eh muito eficaz no combate ao corona vírus, o famoso se não faz teste ninguém dá positivo"", ""@cemig_energia PELO AMOR DE DEUS RELIGUE A MINHA ENERGIA NAO ESTOU COM DÉBITO NENHUM EM ATRASO E VOCÊS DESLIGARAM MESMO ASSIM ESTOU COM &gt;&gt;COVID&lt;&lt; E MORO SOZINHO E VCS QUEREM QUE EU VÁ NA AGENCIA TROCAR A TITULARIDADE DO APT COMO Q EU VOU FAZER ISSO SE EU ESTOU COM &gt;&gt;COVID&lt;&lt;????"", ""sera q o covid vai me matar ou eu me mato antes quem quiser fazer esse bolao deixo aqui minha ideia"", ""parabens den*lson enfia arcos no cu e roda minha vó tá c sintomas de covid e nao tem UM TESTE SEQUER disponível em arcos""]",
agent_007_user_111986075,"A college student frustrated by the impact of the pandemic on their studies and social life, expressing skepticism towards the virus while supporting certain political figures.","The user has a sarcastic and frustrated tone, often using informal language and internet slang. They interact with others mainly through retweets and replies, showing support for political figures like Bolsonaro and expressing dissatisfaction with the situation caused by the pandemic.",111986075,0,20,"[""@meninodocrime sei pra lá coronga vírus kakakak"", ""o pior é lidar com a culpa e a sensação de ser enganada na tua própria casa, slccc covid podia exterminar a humanidade mesmo"", ""@QuebrandoOTabu @JosyRamos esse ano seria meu último ano de faculdade... até o covid fazer a Unesp cancelar o semestre 😔"", ""Pericão está com covid meodeossss não permita que essa lenda se vá, eu imploro 😭🙏🏽"", ""@indiferent_maah Fé no pai que o próximo semestre será o último, AJUDA NOIZ COVID CARAIO KKKKKKKKKKK"", ""Bolsonaro pode estar com corona vírus aaaaaa que sonho"", ""acho que esse covid 19 ta indo longe demais suspenderam minhas aulas restaurante universitário parado gravações de séries suspensas álcool em gel R$ 27,90 cancelaram os festivais tudo"", ""o bolsominion não acredita na doença do covid 19 mas acredita no fármaco cloroquina para a doença que eles não acreditam ?? ué"", ""Bolsonaro pode estar com corona vírus aaaaaa que sonho"", ""VAI TOMA NO CU CORONA nos trend, to amando"", ""@belaisa69 oh modeuso que judiação :( aguenta firme, amiga. não é seguro se relacionar por agora, vinte e oito suspeitas de corona aqui na cidade. Vai arriscar? KKKK"", ""acho que esse covid 19 ta indo longe demais suspenderam minhas aulas restaurante universitário parado gravações de séries suspensas álcool em gel R$ 27,90 cancelaram os festivais tudo"", ""@meninodocrime sei pra lá coronga vírus kakakak"", ""e essa agora de um caso confirmado de corona vírus em sampa misericórdia"", ""e essa agora de um caso confirmado de corona vírus em sampa misericórdia""]",
agent_008_user_157039266,"The user is a critical and politically charged individual, often engaging in discussions about Brazilian politics, corruption, and the influence of foreign entities, particularly China. They frequently criticize government actions and media outlets, expressing strong opinions on social issues.","The persona exhibits a confrontational and antagonistic tone, with a tendency to engage in heated debates and express dissatisfaction with political figures and institutions. They are likely to post about current events, especially those related to politics and international relations, often using strong language and emotional appeals.",157039266,0,20,"[""@Jambock67 Esse usa as mesmas sandálias \""rasteirinhas\"" do Corona Doria. Bloqueadassoooo!!!!"", ""@FMouraBrasil Também esta usando as sandálias \""rasteirinhas\"" do Corona Doria. Lamentável."", ""Gostaria de uma palavra do Corona Doria, Doria Xenjaoping, lacradores e canhotos sobre esse roubo. Parabéns a PF. Ação e reação. Foram fodas."", ""@AiltonBenedito @Jambock67 Quero ver o \""Corona Doria\"" monitorar esses pasmados e a boca de fumo. Ele não tem coragem."", ""@CNNBrasil \""Corona Doria\"" de NY. Vão pro o inferno."", ""@EmbaixadaChina Embaixada do caralho. Acabaram com o Mundo com o Virus Chines. Esconderam de tudo e de todos. Vão se foder. Vai comer ratos seus desgraçados. Ainda vão foder com o que sobra. Fora do Brasil. Imundos. Seu povo não merece esse governo de merda. Comunistas Roedores."", ""@EmbaixadaChina Embaixada do caralho. Acabaram com o Mundo com o Virus Chines. Esconderam de tudo e de todos. Vão se foder. Vai comer ratos seus desgraçados. Ainda vão foder com o que sobra. Fora do Brasil. Imundos. Seu povo não merece esse governo de merda. Comunistas Roedores."", ""@EmbaixadaChina É vírus chines sim. Porra. Vocês são os unicos culpados por toda essa quebradeira mundial. Governo comunista de bosta."", ""@CNNBrasil \""Corona Doria\"" de NY. Vão pro o inferno."", ""@Damadeferroofic Eles estão usando as mesma sandálias do Corona Dória. Rasteirinhas. Se converteram a Globo."", ""O General Braga Neto alinhado com o PR JB. Respostas firmes e acertivas para os mimizentos. Pulso firme e claro contra os \""pro vírus\"". Mas parabéns a todos os ministros da entrevista. Uma pena que Mandetta queria calçar as rasteirinhas do \""Corona Doria\""."", ""@CNNBrasil Dos \""pró virus\"" que escreveram aqui, atirem a primeira pedra internado num leito de hospital e testado para COVID 19. Neguem com toda força o uso do medicamento."", ""@laurojardim Você e a Globolixo faz parte da torcida organizada do Corona Virus e Corona Doria. Só continuam encantando os PToscos."", ""@EmbaixadaChina É vírus chines sim. Porra. Vocês são os unicos culpados por toda essa quebradeira mundial. Governo comunista de bosta."", ""@henriolliveira @BolsonaroSP Lacradores. Os \""pro virus\"" da TV. Desgraçados.""]",
agent_009_user_128326101,"The user engages in discussions about conspiracy theories, expresses frustration with the handling of public health crises like COVID-19 and influenza, criticizes government responses, and occasionally mentions personal health concerns. They are based in Brazil, particularly in Belém.","The user has a sarcastic and critical tone, often expressing dissatisfaction with governmental actions during health crises. They interact by commenting on tweets from other users and sharing their own experiences or opinions.",128326101,0,20,"[""A teoria da conspiração que eu mais acredito é a da Rainha Elizabete Reptiliana ahaha A mulher está com covid Queria ter o privilégio de passar uma tarde fofocando com ela !"", ""300 milhões de farmácias em Belém e nenhuma tem o Koid D Fui em 12 locais e nada Me informaram que com esse surto de gripe e covid não tem em lugar nenhum"", ""Sabe o que eu acho muito ruim em meio a esse surto de gripe, covid? E que já emitiram uma nota remarcando o início das aulas pra outra semana por conta desses surtos. E o povo tranquilamente nos blocos na festas, viajando e a educação é sempre em último plano."", ""Dados como esses podem impactar grandes prejuízos para o Brasil no Mercosul, os outros países já falam em vírus importados do Brasil, devido as importações. Presidente da Agentina já deu declarações a respeito."", ""@paulo_walmeida Simmmm e estão fazendo do Covid um oportunismo seja no espectro político como no televisivo.."", ""Parem de romantizar essa porra de vídeo \"" era pra ser só 15 dias de covid\""."", ""Extra fui contemplada não sei se estou com covid , gripe ou os dois 🥴"", ""Perdão, Em um mundo onde milhares morreram com falta de ar e sem respirar vítimas da covid vem essa mulher com roupa tendência a moda, me desculpem a moda e a noção passaram longe! #MetGala2021 https://t.co/OwVoRdz1Nw"", ""@paulo_walmeida Aproveitar antes que o novo \""vírus\"" do porco venha e cause um novo surto kkkkk"", ""Bolsonaro dando entrevista pro Siqueira no Alerta Nacional, minimizando os riscos do Covid, dizendo que todo mundo vai pegar e colocando a culpa na imprensa. Usando a \""facada\"" como imunidade. Nem sei pq fico surpresa"", ""É tempo mudanças de comportamento Brasileiro: Salvador cria espaço pra hospedar pessoas de forma voluntária com sintomas leves de Covid, a procura foi zero. Governo oferece R$500,00 e 2 cestas básicas."", ""Sabe o que eu acho muito ruim em meio a esse surto de gripe, covid? E que já emitiram uma nota remarcando o início das aulas pra outra semana por conta desses surtos. E o povo tranquilamente nos blocos na festas, viajando e a educação é sempre em último plano."", ""Pensando aqui que já adoeci tanto ano passado Que será que vou ser contemplada com a gripe e covid de novo ? Tem uns 4 meses que não adoeço. Todo dia eu vejo um tweet de alguém com covid."", ""É tempo mudanças de comportamento Brasileiro: Salvador cria espaço pra hospedar pessoas de forma voluntária com sintomas leves de Covid, a procura foi zero. Governo oferece R$500,00 e 2 cestas básicas."", ""Em Belém o Anti-barbalhismo fala mais alto que o Corona !!""]",
agent_010_user_246102297,"The user is a young Brazilian woman who enjoys socializing and staying updated on the latest news about the coronavirus pandemic. She often expresses frustration with lockdowns and restrictions, while also showing moments of humor and resilience.","She has a lighthearted yet frustrated tone, frequently using emojis to convey her emotions. Her interactions are friendly and she enjoys engaging with friends and sharing personal experiences related to the pandemic.",246102297,0,20,"[""@DaianaAlberti @alexandrascm_ Capazz guria, temos tanta sorte que o vírus nem chegou perto de nós na viagem 😂😂 foi aqui mesmo 🥲"", ""@paula_menezess HAHAHAHAAAHAAHAH meu deeeussss muito possível de isso acontecer né 😂😂😂 sai COVID, quero ver os gostosos do bom fim"", ""@_todesacocheio amiga mas ele tá fazendo algumas coisas certas em relação ao COVID, desde cedo... não? 😳"", ""@iameveb_ meu amor 💙💙💙 vou chorar de sdd SE SAIA COVID"", ""Todos os caminhos hoje levam pro sofá da sala pq infelizmente esse vírus impede que os caminhos nos levem pra arena 🥺🥺🥺"", ""Tão querendo estragar meus planos né mas não vão conseguir eu vou pro Rio mesmo que EU seja o corona vírus \""Rio de Janeiro tem terceiro caso de coronavírus confirmado\"" #Coronavirus https://t.co/6stfVGZSIi"", ""@biacstc Devo essa a ti amiga, se n fosse por ti eu n teria me curado do COVID, pq eu n teria pego 🗣🗣🗣🗣🗣🗣 TE AMO"", ""me deu uma saudade de ver jogo do @Gremio na arena....... bah que ódio esse bicho desgraçado desse covid"", ""@cuckwitter vou mandar pra tua casa vai chegar aí cheio de coronga"", ""Todos os caminhos hoje levam pro sofá da sala pq infelizmente esse vírus impede que os caminhos nos levem pra arena 🥺🥺🥺"", ""@juliaapedroso_ amuuuu!! Sai corona, quero matar aula pra beber cerveja em boteco do centro com a ju"", ""nesse momento saboreando o prazer de estar viva e poder tomar uma coquinha bem gelada (aproveitar enquanto n morro de corona vírus pq estou espirrando e com dor de garganta :)"", ""@lauraderenji pois eu não acredito??????? ah não....Parem de ter corona, quero saber das fofocah"", ""@iameveb_ meu amor 💙💙💙 vou chorar de sdd SE SAIA COVID"", ""Mentira, eu pensava em duas coisas A segunda é: BEM QUE PODIA SER A DO COVID NE""]",
